Country,Transaction,Measure,Year,PPP
Argentina,Purchasing Power Parities for GDP,National currency per US dollar,2015,6.866548
Argentina,Purchasing Power Parities for GDP,National currency per US dollar,2016,9.294966
Argentina,Purchasing Power Parities for GDP,National currency per US dollar,2017,10.256822
Argentina,Purchasing Power Parities for GDP,National currency per US dollar,2018,14.226135
Argentina,Purchasing Power Parities for GDP,National currency per US dollar,2019,20.850718
Argentina,Purchasing Power Parities for GDP,National currency per US dollar,2020,28.832096
Argentina,Purchasing Power Parities for GDP,National currency per US dollar,2021,42.448311
Argentina,Purchasing Power Parities for GDP,National currency per US dollar,2022,67.205898
Australia,Purchasing Power Parities for GDP,National currency per US dollar,2015,1.473691
Australia,Purchasing Power Parities for GDP,National currency per US dollar,2016,1.450156
Australia,Purchasing Power Parities for GDP,National currency per US dollar,2017,1.477553
Australia,Purchasing Power Parities for GDP,National currency per US dollar,2018,1.470403
Australia,Purchasing Power Parities for GDP,National currency per US dollar,2019,1.459253
Australia,Purchasing Power Parities for GDP,National currency per US dollar,2020,1.431163
Australia,Purchasing Power Parities for GDP,National currency per US dollar,2021,1.416683
Australia,Purchasing Power Parities for GDP,National currency per US dollar,2022,1.372115
Austria,Purchasing Power Parities for GDP,National currency per US dollar,2015,0.798813
Austria,Purchasing Power Parities for GDP,National currency per US dollar,2016,0.776931
Austria,Purchasing Power Parities for GDP,National currency per US dollar,2017,0.775009
Austria,Purchasing Power Parities for GDP,National currency per US dollar,2018,0.765403
Austria,Purchasing Power Parities for GDP,National currency per US dollar,2019,0.738332
Austria,Purchasing Power Parities for GDP,National currency per US dollar,2020,0.728799
Austria,Purchasing Power Parities for GDP,National currency per US dollar,2021,0.713469
Austria,Purchasing Power Parities for GDP,National currency per US dollar,2022,0.69687
Belgium,Purchasing Power Parities for GDP,National currency per US dollar,2015,0.799998
Belgium,Purchasing Power Parities for GDP,National currency per US dollar,2016,0.781011
Belgium,Purchasing Power Parities for GDP,National currency per US dollar,2017,0.775634
Belgium,Purchasing Power Parities for GDP,National currency per US dollar,2018,0.766407
Belgium,Purchasing Power Parities for GDP,National currency per US dollar,2019,0.735832
Belgium,Purchasing Power Parities for GDP,National currency per US dollar,2020,0.716165
Belgium,Purchasing Power Parities for GDP,National currency per US dollar,2021,0.705865
Belgium,Purchasing Power Parities for GDP,National currency per US dollar,2022,0.694643
Brazil,Purchasing Power Parities for GDP,National currency per US dollar,2015,1.988814
Brazil,Purchasing Power Parities for GDP,National currency per US dollar,2016,2.133082
Brazil,Purchasing Power Parities for GDP,National currency per US dollar,2017,2.181557
