,Country Code,Country,UOM,Year,PPP
0,AUS,Australia,USD_PPP,1996,22709.924
1,AUS,Australia,USD_PPP,1997,23800.443
2,AUS,Australia,USD_PPP,1998,25042.83
3,AUS,Australia,USD_PPP,1999,26303.709
4,AUS,Australia,USD_PPP,2000,27416.973
5,AUS,Australia,USD_PPP,2001,28586.238
6,AUS,Australia,USD_PPP,2002,29912.102
7,AUS,Australia,USD_PPP,2003,31248.912
8,AUS,Australia,USD_PPP,2004,32873.367
9,AUS,Australia,USD_PPP,2005,34338.676
10,AUS,Australia,USD_PPP,2006,36380.859
11,AUS,Australia,USD_PPP,2007,38158.223
12,AUS,Australia,USD_PPP,2008,38824.094
13,AUS,Australia,USD_PPP,2009,40989.738
14,AUS,Australia,USD_PPP,2010,41089.977
15,AUS,Australia,USD_PPP,2011,43229.367
16,AUS,Australia,USD_PPP,2012,43365.938
17,AUS,Australia,USD_PPP,2013,46835.516
18,AUS,Australia,USD_PPP,2014,47244.465
19,AUS,Australia,USD_PPP,2015,46739.086
20,AUS,Australia,USD_PPP,2016,48693.125
21,AUS,Australia,USD_PPP,2017,49537.859
22,AUS,Australia,USD_PPP,2018,51575.957
23,AUS,Australia,USD_PPP,2019,52294.527
24,AUS,Australia,USD_PPP,2020,54339.109
25,AUS,Australia,USD_PPP,2021,58906.555
26,AUT,Austria,USD_PPP,1995,23698.109
27,AUT,Austria,USD_PPP,1996,24560.627
28,AUT,Austria,USD_PPP,1997,25426.662
29,AUT,Austria,USD_PPP,1998,26675.65
30,AUT,Austria,USD_PPP,1999,27606.486
31,AUT,Austria,USD_PPP,2000,29381.686
32,AUT,Austria,USD_PPP,2001,29708.494
33,AUT,Austria,USD_PPP,2002,31178.061
34,AUT,Austria,USD_PPP,2003,32158.455
35,AUT,Austria,USD_PPP,2004,33784.457
36,AUT,Austria,USD_PPP,2005,35024.574
37,AUT,Austria,USD_PPP,2006,37662.891
38,AUT,Austria,USD_PPP,2007,39437.023
39,AUT,Austria,USD_PPP,2008,41316.0
40,AUT,Austria,USD_PPP,2009,40927.547
41,AUT,Austria,USD_PPP,2010,42019.023
42,AUT,Austria,USD_PPP,2011,44469.207
43,AUT,Austria,USD_PPP,2012,46477.637
44,AUT,Austria,USD_PPP,2013,47936.707
45,AUT,Austria,USD_PPP,2014,48813.559
46,AUT,Austria,USD_PPP,2015,49942.066
47,AUT,Austria,USD_PPP,2016,52665.102
48,AUT,Austria,USD_PPP,2017,54188.344
49,AUT,Austria,USD_PPP,2018,56956.074
50,AUT,Austria,USD_PPP,2019,59719.578
51,AUT,Austria,USD_PPP,2020,57258.813
52,AUT,Austria,USD_PPP,2021,59991.477
53,BEL,Belgium,USD_PPP,1995,22447.045
54,BEL,Belgium,USD_PPP,1996,22743.887
55,BEL,Belgium,USD_PPP,1997,23732.793
56,BEL,Belgium,USD_PPP,1998,24369.506
57,BEL,Belgium,USD_PPP,1999,25441.883
58,BEL,Belgium,USD_PPP,2000,27790.621
59,BEL,Belgium,USD_PPP,2001,28792.408
60,BEL,Belgium,USD_PPP,2002,30281.658
61,BEL,Belgium,USD_PPP,2003,30934.838
62,BEL,Belgium,USD_PPP,2004,32063.682
63,BEL,Belgium,USD_PPP,2005,33176.68
64,BEL,Belgium,USD_PPP,2006,35256.789
65,BEL,Belgium,USD_PPP,2007,36794.809
66,BEL,Belgium,USD_PPP,2008,37883.238
67,BEL,Belgium,USD_PPP,2009,37751.633
68,BEL,Belgium,USD_PPP,2010,39836.527
69,BEL,Belgium,USD_PPP,2011,40943.352
70,BEL,Belgium,USD_PPP,2012,42290.504
71,BEL,Belgium,USD_PPP,2013,43672.711
72,BEL,Belgium,USD_PPP,2014,44929.914
73,BEL,Belgium,USD_PPP,2015,46201.707
74,BEL,Belgium,USD_PPP,2016,48599.211
75,BEL,Belgium,USD_PPP,2017,50442.973
76,BEL,Belgium,USD_PPP,2018,52530.809
77,BEL,Belgium,USD_PPP,2019,55801.098
78,BEL,Belgium,USD_PPP,2020,54544.289
79,BEL,Belgium,USD_PPP,2021,58821.004
80,CAN,Canada,USD_PPP,1996,23458.322
81,CAN,Canada,USD_PPP,1997,24276.018
82,CAN,Canada,USD_PPP,1998,25614.277
83,CAN,Canada,USD_PPP,1999,26445.738
84,CAN,Canada,USD_PPP,2000,27408.264
85,CAN,Canada,USD_PPP,2001,29468.889
86,CAN,Canada,USD_PPP,2002,30007.039
87,CAN,Canada,USD_PPP,2003,31169.514
88,CAN,Canada,USD_PPP,2004,32383.217
89,CAN,Canada,USD_PPP,2005,34682.117
90,CAN,Canada,USD_PPP,2006,36687.16
91,CAN,Canada,USD_PPP,2007,38050.359
92,CAN,Canada,USD_PPP,2008,38925.672
93,CAN,Canada,USD_PPP,2009,40455.324
94,CAN,Canada,USD_PPP,2010,38389.77
95,CAN,Canada,USD_PPP,2011,39764.027
96,CAN,Canada,USD_PPP,2012,41368.457
97,CAN,Canada,USD_PPP,2013,42987.809
98,CAN,Canada,USD_PPP,2014,44160.031
99,CAN,Canada,USD_PPP,2015,44745.078
100,CAN,Canada,USD_PPP,2016,45868.508
101,CAN,Canada,USD_PPP,2017,46368.602
102,CAN,Canada,USD_PPP,2018,48399.008
103,CAN,Canada,USD_PPP,2019,48574.168
104,CAN,Canada,USD_PPP,2020,48891.527
105,CAN,Canada,USD_PPP,2021,48270.602
106,CZE,Czech Republic,USD_PPP,1995,13855.324
107,CZE,Czech Republic,USD_PPP,1996,14689.583
108,CZE,Czech Republic,USD_PPP,1997,14825.329
109,CZE,Czech Republic,USD_PPP,1998,14977.241
110,CZE,Czech Republic,USD_PPP,1999,15397.923
111,CZE,Czech Republic,USD_PPP,2000,16211.043
112,CZE,Czech Republic,USD_PPP,2001,17611.359
113,CZE,Czech Republic,USD_PPP,2002,18245.67
114,CZE,Czech Republic,USD_PPP,2003,19524.4
115,CZE,Czech Republic,USD_PPP,2004,20912.055
116,CZE,Czech Republic,USD_PPP,2005,22045.998
117,CZE,Czech Republic,USD_PPP,2006,23857.518
